NCT Number,Study Title,Conditions
NCT05668065,Immunogenicity of Heterologous Versus Homologous Prime Boost Schedule With mRNA and Inactivated COVID-19 Vaccines,COVID-19
NCT06503874,Improving Attention in Individuals With Long COVID-19,Long Covid
NCT04331665,Study of the Efficacy and Safety of Ruxolitinib to Treat COVID-19 Pneumonia,COVID-19|Pneumonia
NCT05373420,COVID-19 Vaccination Uptake in Belgium : Sociodemographic and Socioeconomic Disparities,COVID-19
NCT04422574,COVID 19 Serology in Pulmonologists,Covid 19
NCT04930965,Impact of LA-CEAL HALT COVID-19 Ambassador Program on Likelihood to Vaccinate,Covid19|Vaccine Refusal
NCT04452474,Study of the Efficacy and Safety of a Single Administration of Olokizumab vs. Placebo in Addition to Standard Treatment in Patients With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection (COVID-19).,COVID-19
NCT05813574,Long Term Impact of COVID-19,Long COVID-19|Post-COVID-19 Syndrome|COVID-19
NCT04535674,Asunercept in Patients With Severe COVID-19,COVID-19 Induced Pneumonia|Covid19
NCT06146374,Safety Study of SLV213 for the Treatment of COVID-19.,COVID-19
NCT04993365,"Immunogenicity And Safety of COVID-19 Vaccine , Inactivated Co -Administration With EV71 Vaccine (Vero Cell)",COVID-19
NCT05125874,Clinical Study for Recombinant SARS-CoV-2 Fusion Protein Vaccine (V-01) Booster Immunization,COVID-19 Pandemic
NCT05618574,Nitrite Supplementation in Long COVID Patients,Long COVID|Cardiorespiratory Fitness
NCT06727474,Clinical and Funtional Caracteristics of Patients Admitted for Severe Pneumonia Due to COVID 19.,Post-intensive Care Syndrome|COVID-19
NCT04369365,"A Single-blinded, Randomized, Placebo Controlled Phase II Trial of Prophylactic Treatment With Oral Azithromycin Versus Placebo in Cancer Patients Undergoing Antineoplastic Treatment During the Corona Virus Disease 19 (COVID-19) Pandemic",COVID
NCT04958174,A Smartphone Application for Screening of Developmental Disorders in Children,"Development, Child"
NCT04336774,CAPTION AI to Minimize Risk of COVID Exposure,COVID-19
NCT05090865,Dietary Potassium Liberalization in Pre-Dialysis Patients,Chronic Kidney Disease|Hyperkalemia
NCT04686565,Covid-19 Pandemic and Cerebral Palsy,"Cerebral Palsy|Covid19|Telemedicine|Caregiver Quality of Life|Disability, Developmental"
NCT05060666,Prophylaxis of COVID-19 Disease With Ivermectin in COVID-19 Contact Persons [German: Prophylaxe Der COVID-19-Erkrankung Mit Ivermectin Bei COVID-19 Kontaktpersonen],Covid19
NCT04402866,TD-0903 for ALI Associated With COVID-19,Acute Lung Injury (ALI) Associated With COVID-19|Lung Inflammation Associated With COVID-19
NCT04522466,Evaluation of the Pharmacokinetics and Pharmacodynamics of Hydroxychloroquine in COVID-19 Intensive Care Unit Patients,Sars-CoV2
NCT04261426,The Efficacy of Intravenous Immunoglobulin Therapy for Severe 2019-nCoV Infected Pneumonia,2019-nCoV
NCT05115526,PEEP Setting in COVID19-related ARDS,ARDS Due to Severe Acute Respiratory Syndrome Coronavirus 2
NCT06267326,"World Health Organization (WHO) , COVID19 Case Series of Post Covid 19 Rhino Orbito Cerebral Mucormycosis in Egypt",Mucormycosis; Rhinocerebral (Etiology)|COVID-19
NCT04893057,COVID-19 Seroprevalence in Pregnant Women and Blood Donors,COVID-19 Respiratory Infection
NCT05771857,Obesity: an Underappreciate Risk Factor for Severe Form of COVID-19,COVID-19 Pandemic|Obesity
NCT04355026,Use of Bromhexine and Hydroxychloroquine for Treatment of COVID-19 Pneumonia,Covid-19
NCT05965726,"RECOVER-VITAL: Platform Protocol, Appendix to Measure the Effects of Paxlovid on Long COVID Symptoms",Long COVID-19|Long COVID
NCT04789226,Psychological Impact of Covid-19 Assiut University Hospital Experience,Psychological Impact of Covid-19
NCT05019326,Andrographis Paniculata vs Boesenbergia Rotunda vs Control in Asymptomatic COVID-19,Covid19
NCT04834726,COVID-19 Vaccine Text Outreach,Covid19
NCT04605926,A Study to Evaluate the Efficacy and Safety of Itolizumab in Subjects Hospitalized With COVID-19,Coronavirus
NCT04347226,Anti-Interleukin-8 (Anti-IL-8) for Patients With COVID-19,Solid Tumor|Sars-CoV2|Hematological Malignancy
NCT04988126,"Pain, Fatigue and Life Quality in COVID-19 Patients",COVID-19 Pneumonia|Pain|Fatigue|Quality of Life
NCT04374526,Early transfusIon of Convalescent Plasma in Elderly COVID-19 Patients. to Prevent Disease Progression.,Coronavirus Disease 2019 )COVID-19)
NCT04757857,COVID-19 Antithrombotic Rivaroxaban Evaluation,COVID-19
NCT06255626,"Safety and Immunogenicity of a Sub-unit Protein CD40.RBDv Bivalent COVID-19 Vaccine, Adjuvanted or Not, as a Booster in Volunteers.",COVID-19
NCT04955626,"To Evaluate the Safety, Tolerability, Efficacy and Immunogenicity of BNT162b2 Boosting Strategies Against COVID-19 in Participants ≥12 Years of Age.",SARS-CoV-2 Infection|COVID-19
NCT04422626,Data Analysis of the Cytokine Adsorption Treatment on Coronavirus Disease-19 (COVID-19) Patients With Respiratory Failure,SARS-CoV-2|COVID-19
NCT04500626,Hyperbaric Versus Normobaric Oxygen Therapy for COVID-19 Patients,Covid19
NCT04432766,A Phase 1/2 Study to Assess Safety and Efficacy of BAT2020 in Hospitalized COVID-19 Patients,COVID-19
NCT04456426,"Characteristics of Patients With COVID-19 in Meta State, Colombia",COVID|SARS-CoV 2|SARS Pneumonia|SARS (Disease)|SARS (Severe Acute Respiratory Syndrome)
NCT05675826,The Impact of Donor COVID-19 Infection Status on the Recipient in Allo-HSCT,COVID-19|Hematopoietic Stem Cell Transplantation
NCT04326426,ODYSSEY: A Study to Investigate the Efficacy of Tradipitant in Treating Severe or Critical COVID-19 Infection,Coronavirus Infection
NCT04540926,Cyclosporine A Plus Low-steroid Treatment in COVID-19 Pneumonia,COVID 19 Pneumonia
NCT04642326,Study Investigating the Effects of UVC Beam and Laser Beam Therapy According to Standard Therapy in Patients With Covid-19 Diagnosis,Covid19
NCT05116657,Obstructive Sleep Apnoea Post Covid 19: Role of the Upper Airway Microbiome,"Sleepiness|SARS-CoV2 Infection|Fatigue Syndrome, Chronic|Snoring"
NCT05770466,Clinical Study for the Efficacy and Safety of Ropeginterferon Alfa-2b in Moderate COVID19.,COVID-19
NCT04341766,Evolution of Pulmonary Ultrasound in Patients Hospitalized for Covid (Coronavirus Disease) 19,"Pneumonia, Viral|COVID-19"
NCT05228626,Safety and Efficacy of COVIDEX™ Therapy in Management of Adult COVID-19 Patients in Uganda.,COVID-19
NCT05621226,Message Communicating Latest Data on COVID-19 Transmission in Patient's Area,COVID-19
NCT05012826,Osteopathy and Physiotherapy Compared to Physiotherapy Alone on Fatigue and Functional Status in Long COVID,Covid19|SARS-CoV-2 Infection
NCT04404426,CACOLAC : Citrulline Administration in the Hospital Patient in Intensive Care for COVID-19 Acute Respiratory Distress Syndrome,ARDS Secondary to COVID-19 Pneumonia
NCT05358626,Seroprevalence of Infection-induced SARS-CoV-2 Antibodies (COVID-19) in Children,COVID-19
NCT04780126,Sarco-COVID Study: Measuring the Loss of Skeletal Muscle Mass in the Hospitalized Patient With the Diagnosis of COVID-19,Sarcopenia|Covid19
NCT06350526,Radiological Characterization of Pulmonary Involvement in Patients With Hematological Diseases,Hematologic Diseases
NCT05470426,Viral Excretion Among COVID-19 Omicron Recurrence Patients,COVID-19 Recurrence|Surface Contamination
NCT05049226,Third Dose Vaccination With AstraZeneca or Pfizer COVID-19 Vaccine Among Adults Received Sinovac COVID-19 Vaccine,COVID-19 Infection|COVID-19 VACCINE
NCT06099626,Study of Clinical Features of Patients With Autoimmune Liver Disease Complicated With Covid-19 and the Immune Mechanism Affecting Prognosis,"Autoimmune Liver Disease, COVID-19"
NCT04383626,Fear Among Dentists During COVID-19 Pandemic,COVID
NCT04340557,Do Angiotensin Receptor Blockers Mitigate Progression to Acute Respiratory Distress Syndrome With SARS-CoV-2 Infection,SARS-CoV Infection
NCT04548557,Intravenous Immunoglobulins for the Treatment of Covid-19 Patients: a Clinical Trial,Covid19
NCT05846126,Digital Multimodal Rehabilitation for People With Post-acute COVID-19 Syndrome.,Post-COVID Syndrome
NCT05193526,COronaVirus Induced Acute Respiratory Disease Syndrome During PREGnancy,Acute Respiratory Distress Syndrome Related to SARS-CoV-2
NCT04930757,Involvement of Polymorphonuclear Neutrophils and Platelets in Severe Form of COVID-19,Covid19
NCT04394026,Imaging Feature of SARS-CoV2 Infection,Viral Pneumonia|COVID
NCT04388826,COVID-19 Treatment of Severe Acute Respiratory Syndrome With Veru-111,"Respiratory Distress Syndrome, Adult"
NCT05663957,eVusheld Assessment reaL wORld Effectiveness in the VA Health System,"SARS-CoV-2, COVID-19"
NCT04712357,Clinical Experimentation With Tenofovir Disoproxyl Fumarate and Emtricitabine for COVID-19,Covid19
NCT04305457,Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID-19,"Coronavirus Infections|Pneumonia, Viral|Acute Respiratory Distress Syndrome"
NCT04735757,"Effects of COVID-19 Infection and Critical Illness on Diaphragm Tissue Characteristics and Movement, Visualized With MRI",Diaphragm Disease|Covid19
NCT04438057,Evaluating the Efficacy of Convalescent Plasma in Symptomatic Outpatients Infected With COVID-19,COVID-19
NCT05713266,Using Data From a Multisensor Rapid Health Assessment Device to Predict Decompensation in Long COVID (AIDI),COVID-19|Long COVID
NCT05398926,"Immunogenicity and Safety of a Third Dose of COVID-19 Vaccine(Vero Cell), Inactivated in the Elderly",COVID-19
NCT05583357,Exploratory Clinical Study to Evaluation of the Safety and Immunogenicity of Bivalent Vaccine V-01D-351,COVID-19 Pandemic
NCT04889326,Collection of the Thrombo-VaxCov Cohort,Covid19|SARS-CoV Infection|Venous Thrombosis|Thrombocytopenia|Vaccination; Complications
NCT04358926,Hyperbaric Oxygen Therapy Effect in COVID-19 RCT (HBOTCOVID19),COVID-19|Desaturation of Blood
NCT04622826,plasmApuane CoV-2 : Efficacy and Safety of Immune Covid-19 Plasma in Covid-19 Pneumonia in Non ITU Patients,Covid-19 Pneumonia
NCT04408326,Efficacy and Safety of Angiotensin II Use in Coronavirus Disease(COVID)-19 Patients With Acute Respiratory Distress Syndrome,COVID|Acute Respiratory Distress Syndrome
NCT05007457,The Effectiveness of Respiratory Tele-rehabilitation After COVID-19 Pneumonia Related: a Randomized Controlled Trial,Respiratory Failure|Sars-CoV-2|Covid19|ARDS|Interstitial Pneumonia|Respiratory Rehabilitation|Dyspnea|Quality of Life|Coronavirus Infections
NCT04954157,Studies to Determine Whether Oxygen Sensing is Impaired in Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infected Patients,Hypoxia|SARS-CoV-2 Acute Respiratory Disease|Carotid Bodies
NCT06638957,Impact of the COVID-19 Pandemic on Oncologic Outcomes in Colorectal Cancer,Colorectal Carcinoma|COVID 19
NCT04470557,Relation Between Lab Finding and COVID-19 Severity,COVID-19
NCT04768257,Physical Activity Post COVID-19,Covid19
NCT05619666,Acute Rehabilitation in Patients With COVID-19 Pneumonia,COVID-19|Rehabilitation|Physical Medicine
NCT06189066,Long COVID Ultrasound Trial,Long Covid
NCT05721066,Hemostatic Profile of Post COVID-19/Long COVID-19 Patients,COVID-19|Post-acute COVID-19 Syndrome
NCT04704466,Impact of Covid-19 Pandemic on Management of Head and Neck Cancers,Head and Neck Cancer|Covid19|Patient Care
NCT05260866,Impact of the COVID-19 Pandemic on Mental Health Service Utilization in Children and Adolescents,"Mental Disorder, Child"
NCT04552366,A Clinical Trial of a Recombinant Adenovirus 5 Vectored COVID-19 Vaccine (Ad5-nCoV) With Two Doses in Healthy Adults,COVID-19
NCT05228665,HEART Rate Variability Biofeedback in LOng COVID-19 (HEARTLOC),COVID-19
NCT05162365,"A Safety, Tolerability, and Efficacy Study of IBI314 in Ambulatory Patients With COVID-19",COVID-19
NCT04590365,Carrageenan Nasal Spray for COVID-19 Prophylaxis,COVID-19|SARS-CoV 2
NCT05212766,Role of the Oral Microbiome & Mucosal Immunity in COVID-19 Disease,COVID-19|Microbial Colonization|Oral Disease|Periodontal Diseases|Innate Inflammatory Response|Mucosal Infection
NCT04427566,Low Dose Whole Lung Radiation Therapy for Patients With COVID-19 and Respiratory Compromise,COVID-19
NCT05184166,Hospital Management and 1-year Outcome of Patients Aged 70 Years and Older With Severe COVID-19,COVID-19|Elderly Patient
NCT05055466,COVID-19: Infectious Potential of SARS-CoV-2 Intestinal Shedding in Pediatric Patients (INPOSIS),SARS-CoV-2 Infection|Covid19|Intestinal Infection
NCT04322565,Colchicine Counteracting Inflammation in COVID-19 Pneumonia,"Coronavirus Infections|Pneumonia, Viral"
NCT04412265,Frailty in Elderly Patients With COVID-19,Covid19
NCT04340466,French Multicentre Observational Study on SARS-Cov-2 Infections (COVID-19) ICU Management Study,"Pneumonia, Viral|Critically Ill|Corona Virus Infection"
NCT04775966,CPAP Observance During the COVID-19 (SARS-CoV-2) Pandemic,Sleep Apnea Syndromes
NCT04371965,"Povidone Iodine Mouthwash, Gargle, and Nasal Spray to Reduce Naso- Pharyngeal Viral Load in Patients With COVID-19",COVID-19
NCT05639465,Intervention to Prevent Behavioral Health Symptoms Among Pandemic Affected Children,"Emotional Distress|Prosocial Behavior|Pandemic, COVID-19|Coping Skills|Social Support"
NCT04674566,Evaluation of Safety and Tolerability of COR-101 in Hospitalized Patients With Moderate to Severe COVID-19,Covid19
NCT05007665,Safety and Immune Response of COVID-19 Vaccination in Patients With Chronic Liver Diseases,Liver Diseases|Covid19|Adverse Reaction to Vaccine
NCT05138666,Non-invasive Tools to Diagnose Invasive Aspergillosis Infections in ICU Patients With COVID-19 and Other Conditions.,Invasive Pulmonary Aspergillosis
NCT04302766,Expanded Access Remdesivir (RDV; GS-5734™),Coronavirus Disease 2019
NCT04324866,Prevalence and Incidence of COVID-19 Infection in Patients With Chronic Plaque Psoriasis on Immunosuppressant Therapy,Coronavirus Infection
NCT05003466,Study of Inactivated SARS-CoV-2 Vaccine (Vero Cells) in Healthy Population Aged 3 to 17 Years(COVID-19),COVID-19
NCT04408066,COVID-19: A POC Test Under Research & Evaluation,COVID-19
NCT04896866,Efficacy and Safety of Antimicrobial Stewardship Intervention in Hospitalized COVID-19 Patients (COVASP),Covid19|COVID-19 Pneumonia|COVID-19 Lower Respiratory Infection|COVID-19 Acute Respiratory Distress Syndrome|SARS-CoV2 Infection|SARS-CoV-2 Acute Respiratory Disease
NCT05438966,Nutritional Status of Adult Slovenes After the Covid-19 Epidemic,"Body Weight|Nutrition, Healthy|COVID-19 Pandemic"
NCT05787366,Effect of a Health Pathway for People With Persistent Symptoms Covid-19,COVID-19
NCT04747366,"Analysis of the Pathophysiology and Pathology of Coronavirus Disease 2019 (COVID-19), Including Chronic Morbidity",Covid19
NCT06086366,Presynaptic Imaging in Major Depressive Episodes After COVID-19,Long COVID|Major Depressive Disorder|Major Depressive Episode
NCT04398004,Anti-inflammatory Clarithromycin for Improving COVID-19 Infection Early,COVID-19|Virus Diseases|Corona Virus Infection
NCT04798001,Safety and Immunogenicity of an Intranasal RSV Vaccine Expressing SARS-CoV-2 Spike Protein (COVID-19 Vaccine) in Adults,Covid19
NCT05022472,Project 2VIDA! COVID-19 Vaccine Intervention Delivery for Adults in Southern California,Vaccine Refusal|Covid19
NCT04931004,Oral Rinse to Reduced Expelled Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) During COVID-19 Infection,Covid19
NCT04452604,Multicentric Registry of Patients With Acute Leukemia Infected by COVID-19,Acute Myeloblastic Leukemia|Acute Lymphoblastic Leukemia|SARS-CoV-2
NCT04365101,Natural Killer Cell (CYNK-001) Infusions in Adults With COVID-19,"Coronavirus|Coronavirus Infection|Severe Acute Respiratory Syndrome Coronavirus 2|Pneumonia|Pneumonia, Viral|Lung Diseases|Respiratory Tract Disease|Respiratory Tract Infections|Coronaviridae Infections|Nidovirales Infections|RNA Virus Infections|Virus Disease|Immunologic Disease|ARDS|Immunologic Factors|Physiological Effects of Drugs|Antiviral Agents|Anti-infective Agents|Analgesics|Antimetabolites, Antineoplastic"
NCT04918901,Comparative Analysis of Clinical Parameters and Radiographic Changes of Severe COVID-19,Severe COVID-19
NCT05715801,Hyperbaric Oxygen Therapy Improves Brain Function in Patients With Cognitive Decline After COVID-19 Infection.,Cognitive Decline|COVID-19|SARS CoV 2 Infection
NCT04380701,A Trial Investigating the Safety and Effects of Four BNT162 Vaccines Against COVID-19 in Healthy and Immunocompromised Adults,"Infections, Respiratory|Virus Diseases|Infection Viral|Vaccine Adverse Reaction|RNA Virus Infections|Protection Against COVID-19 and Infections With SARS CoV 2"
NCT04825301,Application of Machine Learning Based Approaches in Emergency Department to Support Clinical Decision Managing SARS-CoV-2 Infected Patients,Covid19
NCT04328272,Effectiveness of Hydroxychloroquine in Covid-19 Patients,COVID19
NCT05246072,Effect of Combined Use of Ivermectin and Colchicine in COVID-19 Patients,COVID-19
NCT04494204,Effect of a Combination of Treatment of Reginmune Capsule and Immunofree Tablets in the Treatment of Mild to Moderate COVID-19 Patients,Treatment of Covid-19 Virus Infection
NCT05083104,Assessment of the Natural Anticoagulant Profile in Patients With COVID-19,COVID-19 Patients
NCT04408001,Study of Kinetics and Efficacy of the Immune Response Against COVID-19 Among Hospital Staff,Sars-CoV2
NCT04664101,"REmotely Monitored, Mobile Health-Supported High Intensity Interval Training After COVID-19 Critical Illness (REMM-HIIT-COVID-19)",Covid19|Critical Illness|High Intensity Interval Training|ICU|Intensive Care Units|Fitness Trackers
NCT04791072,Tele-coaching in Patients With COVID-19,Covid19|Rehabilitation
NCT04426201,InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic Patients With COVID-19 Infection ( ILIAD-7-US-O ),COVID-19|Lymphocytopenia
NCT05121701,Covid-19 Pandemic and Use of Video Laryngoscopy,COVID-19 Pneumonia
NCT05453201,"Developing an Integrative, Recovery-Based, Post-Acute COVID-19 Syndrome (PACS) Psychotherapeutic Intervention",Long COVID
NCT05685901,Oropharyngeal Immunoprophylaxis With High Polyphenolic Olive Oil as Clinical Spectrum Mitigating Factor in COVID-19.,COVID-19
NCT04392401,COVID-19 - Study of the Kinetics of the Immune Response During the Intensive Care Unit Stay in Adult Patients Infected with SARS-CoV-2: Multicentric Non Interventional Study,Intensive Care Unit|SARS-Cov-2
NCT04486404,"Needs, Perceptions and Acute Stress of Healtcare Workers Caring for COVID-19 Patients in South America",Acute Stress Disorder
NCT04391101,Convalescent Plasma for the Treatment of Severe SARS-CoV-2 (COVID-19),SARS-Cov-2
NCT04471701,Italian Web-based Cross-sectional Survey on COVID-19,"Covid19|SARS-CoV Infection|Survey, Family Life|Epidemic Disease|Self-Assessment"
NCT04278404,"Pharmacokinetics, Pharmacodynamics, and Safety Profile of Understudied Drugs Administered to Children Per Standard of Care (POPS)",Coronavirus Infection (COVID-19)|Pulmonary Arterial Hypertension|Urinary Tract Infections in Children|Hypertension|Pain|Hyperphosphatemia|Primary Hyperaldosteronism|Edema|Hypokalemia|Heart Failure|Hemophilia|Menorrhagia|Insomnia|Pneumonia|Skin Infection|Arrythmia|Asthma in Children|Bronchopulmonary Dysplasia|Adrenal Insufficiency|Fibrinolysis; Hemorrhage|Attention Deficit Hyperactivity Disorder|Multisystem Inflammatory Syndrome in Children (MIS-C)|Kawasaki Disease|Coagulation Disorder|Down Syndrome
NCT04336904,Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19,COVID-19
NCT05268601,COVID-19 and Disease Progression to the Severe Form: a Study on the Use of Monoclonal Antibodies Against SARS-CoV-2,COVID-19
NCT04760704,Covid-19 Vaccine Response in Elderly Subjects,Covid19 Vaccine
NCT04695301,Functional Outcomes in COVID-19 Survivors and Use of a Digital Platform for Rehabilitation,COVID-19|Coronavirus Infections|Exercise Therapy
NCT04359901,Sarilumab for Patients With Moderate COVID-19 Disease,COVID
NCT06379672,Resonance Breathing Training for Long Covid-related Myocardial Injury,Long COVID|Myocardial Injury
NCT04853004,Current and Past SARS-CoV-2 Infection and COVID-19 in Healthcare With Regard to Vaccinations,SARS-CoV 2
NCT04424004,MURDOCK Cabarrus County COVID-19 Prevalence and Immunity (C3PI) Study,COVID 19
NCT05387304,A Follow-up Study of Asymptomatic Infections and Diagnosed Patients With Covid-19 in Shanghai,COVID-19
NCT04582201,Evaluate the Safety of agenT-797 in Participants With Moderate to Severe Difficulty Breathing Secondary to SARS-CoV-2,"Respiratory Distress Syndrome, Adult"
NCT05752201,ARVAC-A New Recombinant Coronavirus Disease 2019 (COVID-19) Vaccine,COVID-19 Vaccine
NCT04391946,Observatory of Patients With Chronic Lymphocytic Leukemia / Lymphocytic Lymphoma or Waldenstrom Disease Infected With COVID-19,"Chronic Lymphocytic Leukemia, Lymphocytic Lymphoma or Waldenstrom Disease"
NCT05109546,Geriatric COVID-19 Serology,COVID-19
NCT04273646,Study of Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Severe COVID-19,2019 Novel Coronavirus Pneumonia|COVID-19
NCT04481646,Novel Face Mask Sampling for COVID-19: A Diagnostic and Public Health Tool,Covid19
NCT04485169,Therapeutic Plasma Exchange for Coronavirus Disease-2019 Triggered Cytokine Release Storm;,COVID-19|Cytokine Release Syndrome
NCT04732468,COVID-19 Oral and Subcutaneous Vaccination Using a 2nd Generation (E1/E2B/E3-Deleted) Adenovirus Platform in Healthy Volunteers in USA,Covid19
NCT04594668,Senicapoc in COVID-19 Patients With Severe Respiratory Insufficiency,"ARDS, Human|COVID"
NCT06105346,Prevalence of ENT Diseseas,Conscripts|Military Induction Board|ENT Disease|Rhinosinusitis Chronic|Rhinosinusitis|HPV Infection|HPV Vaccine|Long COVID|ENT Surgery
NCT04518969,Determination of the Hemoadsorption Impact as Adjunctive Treatment Upon the Support Therapy of COVID-19,Covid19
NCT04928469,Clinical Impact of COVID-19 by P.1 SARS-CoV-2 Lineage,Covid19|COVID-19 Pneumonia|SARS-CoV-2 Infection
NCT04446169,COVID-19 (SARS-CoV-2) in Urine and Semen,SARS-CoV 2|Sexual Function and Fertility Disorders|Urinary Function Disorders|Urine|Semen
NCT04358068,Evaluating the Efficacy of Hydroxychloroquine and Azithromycin to Prevent Hospitalization or Death in Persons With COVID-19,COVID-19|SARS-CoV 2
NCT04887246,Monitoring the Effectiveness and Safety of COVID-19 Vaccines at National University of Colombia,Covid19|SARS-CoV2 Infection
NCT04386369,Evaluation of Airway Pressure Release Ventilation in COVID-19 ARDS,ARDS|COVID19
NCT06452069,Efficacy and Safety Study of Essential Oil-Based Preparation Administered to COVID-19 Patients,COVID-19 Respiratory Infection|COVID-19
NCT04363268,ACCESS A Master Digital Surveillance Protocol for COVID-19,Coronavirus|COVID|COVID-19|COVID19|Corona Virus Infection|Coronavirus Infection
NCT04581746,Impact of the Epidemic of COVID-19 Infection Among People Living With HIV (SARS-CoV-2),Virus-HIV|Covid19
NCT04644146,Genetic Predisposition to Severe Forms of COVID-19 (SARS-CoV2 Infection),Covid19
NCT04609969,Diagnostic Performance Evaluation of a Novel SARS-CoV-2 (COVID-19) Antigen Detection Test,Covid19|SARS-CoV-2 Infection
NCT05607069,Multifactorial Evaluation of COVID-19 Respiratory Reliquates,COVID-19 Respiratory Infection
NCT04407169,Prevalence of Critical Forms of CoVid-19 in Patients With Chronic Respiratory Disease,COVID
NCT04911868,Surgical Management During the Era of COVID-19,COVID 19
NCT04679168,Study on Kidney Disease and EnviromenTal Chemical,Covid19|Environmental Exposure|Chronic Kidney Diseases
NCT05403346,Clinical Evaluation of a COVID-19 Antigen Self-Test (CoviDx™),SARS-CoV-2|Covid19
NCT04487769,Lung Ultrasound in COVID-19 Patients,Covid19|Ultrasound|ARDS
NCT04756869,Monitoring Health Care Workers at Risk for COVID-19 Using Wearable Sensors and Smartphone Technology,Covid19
NCT04433546,"Pemziviptadil (PB1046), a Long-acting, Sustained Release Human VIP Analogue, Intended to Provide Clinical Improvement to Hospitalized COVID-19 Patients at High Risk for Rapid Clinical Deterioration and Acute Respiratory Distress Syndrome (ARDS).",Acute Respiratory Distress Syndrome|Coronavirus|Hypoxic Respiratory Failure|Hypoxemic Respiratory Failure|Respiratory Complication|Respiratory Insufficiency|Cardiac Dysfunction|Pneumonia|Pulmonary Edema|Pulmonary Inflammation|Respiratory Failure|Cytokine Storm|COVID 19|SARS-CoV-2|Cardiac Event|Cardiac Complication|Cardiac Failure|Cardiac Infarct
NCT05074446,Stereotype Threat Effect on CPR Performance in Covid-19 Intensive Care Units: A Randomised Controlled Mannequin Study,Stereotype-threat|COVID-19
NCT04412746,Covid-19 and Diabetes in West of Algeria,Coronavirus Infections|Diabetes Mellitus|Prevalence|Risk Factors|Patient Outcome Assessment|Severe Acute Respiratory Syndrome
NCT05271669,COVID-19 Immunity and Changes Over Time,COVID-19
NCT04592510,"Impact of COVID-19 on Pediatric Dental Practice During First, Second And Third Wave.",SARS-CoV2
NCT06091410,Immunogenicity of Concomitant Administration of COVID-19 Vaccines With Influenza Vaccines,COVID-19|Influenza|Vaccine Reaction|Contaminant Injected
NCT04401410,Anti-SARS Cov-2 T Cell Infusions for COVID 19,SARS-CoV 2|Viral Infection|COVID 19
NCT04388410,Safety and Efficacy of Convalescent Plasma Transfusion for Patients With COVID-19,COVID-19
NCT04575610,IRAK4 Inhibition in Treatment of COVID-19 With ARDS (I-RAMIC),COVID-19
NCT06348212,Effect of Probiotic Strain Lactobacillus Paracasei PS23 on Brain Fog in People With Long COVID,Long COVID|Brain Fog|Cognitive Change
NCT04694612,Efficacy of Favipiravir in Treatment of Mild & Moderate COVID-19 Infection in Nepal,Covid19
NCT04720612,COVID-19 Immunologic Antiviral Therapy With Omalizumab,Covid19
NCT04747769,COVID-19. CT-Scan Modeling in COVID19 Sequelae,COVID-19
NCT04988269,Assessment of Diurnal Salivary Cortisol Production in COVID-19,COVID-19|Adrenal Insufficiency|Adrenal Hyperfunction
NCT05258669,"Immuno-bridging and Broadening Study of a Whole, Inactivated COVID-19 Vaccine BBV152 in Healthy Adults",COVID-19
NCT04357769,COVID-19 Pandemic Burden in Severe Mental Disease Patients,Psychological Distress|COVID|Severe Mental Disorder
NCT05622669,Understanding Patterns of Fatigue in Health and Disease,Myeloma|Long COVID|Heart Failure
NCT04839146,Safety and Tolerability of COVID-19 Vaccine (ABNCoV2),Covid19|Severe Acute Respiratory Syndrome|SARS-CoV-2 Infection
NCT05077969,Leidos-Enabled Adaptive Protocol (LEAP-CT) for Evaluation of Post-exposure Prophylaxis for Newly-infected COVID-19 Patients,2019 Novel Coronavirus Disease|2019 Novel Coronavirus Infection|2019-nCoV Disease|2019-nCoV Infection|COVID-19|COVID-19 Pandemic|COVID-19 Virus Disease|COVID-19 Virus Infection|Covid19|Coronavirus Disease 2019|SARS-CoV2 Infection|SARS-CoV-2 Acute Respiratory Disease
NCT04751669,Efficacy of a Dietary Supplementation in Reducing Hospital Admissions for COVID-19. Randomized Clinical Trial,Covid19
NCT05092568,Comparison of General Characteristics of Patients Diagnosed COVID-19 (Coronavirus )Positive Followed In Service,Coronavirus Disease 2019|Vaccinia|Symptoms and Signs
NCT05933304,A Study of the Effectiveness of Moderna COVID-19 Vaccine,SARS-CoV-2|COVID-19
NCT05475704,Effectiveness of Chinese COVID-19 Vaccines in Latin America and the Caribbean,COVID-19
NCT04528901,Study of seroPREvalence Vis-à-vis SARS-CoV2 and Correlation With Clinical Forms of COVID-19 in Patients Followed in Pneumology in the Cluster Area of the Grand-Est Region (Strasbourg University Hospital),Covid-19
NCT04681001,"Prophylactic Treatment With Carragelose Nasal Spary to Prevent SARS-CoV-2, COVID-19, Infections in Health Care Workers",Respiratory Viral Infection|Common Cold|Severe Acute Respiratory Syndrome (SARS) Pneumonia|COVID-19|Corona Virus Disease
NCT05026801,Azithromycin Plus Hydroxychloroquine for COVID-19 Infection,Respiratory Tract Infection Viral
